rank,team,rank_change_since_previous,points,ranking_date
67,Albania,-1,1376.03,2026-06-11
68,United Arab Emirates,0,1370.47,2026-06-11
69,North Macedonia,-2,1369.16,2026-06-11
70,Northern Ireland,0,1365.30,2026-06-11
71,Jamaica,0,1357.84,2026-06-11
72,Georgia,0,1355.26,2026-06-11
73,Jordan,-10,1350.41,2026-06-11
74,Iceland,0,1342.77,2026-06-11
75,Finland,0,1341.92,2026-06-11
76,Israel,0,1333.90,2026-06-11
77,Bolivia,0,1326.00,2026-06-11
78,Kosovo,0,1319.12,2026-06-11
79,Oman,0,1306.90,2026-06-11
80,Montenegro,0,1301.98,2026-06-11
81,Guinea,0,1295.60,2026-06-11
82,Curaçao,0,1285.64,2026-06-11
83,Syria,1,1283.05,2026-06-11
84,Gabon,2,1272.51,2026-06-11
85,Bulgaria,2,1271.68,2026-06-11
86,Aotearoa New Zealand,-1,1269.80,2026-06-11
87,Angola,1,1265.58,2026-06-11
88,Haiti,-5,1264.58,2026-06-11
89,Uganda,0,1264.09,2026-06-11
90,Zambia,0,1255.82,2026-06-11
91,China PR,0,1254.81,2026-06-11
92,Bahrain,0,1254.41,2026-06-11
93,Benin,0,1252.17,2026-06-11
94,Thailand,0,1250.80,2026-06-11
95,Palestine,0,1243.71,2026-06-11
96,Belarus,0,1242.88,2026-06-11
97,Guatemala,0,1238.74,2026-06-11
98,Luxembourg,0,1232.82,2026-06-11
99,Vietnam,0,1227.20,2026-06-11
100,El Salvador,0,1225.34,2026-06-11
101,Tajikistan,0,1224.19,2026-06-11
102,Trinidad and Tobago,0,1219.59,2026-06-11
103,Mozambique,0,1218.62,2026-06-11
104,Madagascar,0,1202.69,2026-06-11
105,Equatorial Guinea,0,1195.20,2026-06-11
106,Kyrgyz Republic,0,1192.16,2026-06-11
107,Armenia,0,1189.63,2026-06-11
108,Comoros,0,1187.91,2026-06-11
109,Kenya,0,1185.08,2026-06-11
110,Libya,0,1182.08,2026-06-11
111,Kazakhstan,0,1180.78,2026-06-11
112,Tanzania,0,1180.27,2026-06-11
113,Mauritania,0,1176.68,2026-06-11
114,Niger,0,1175.33,2026-06-11
115,Lebanon,0,1172.22,2026-06-11
116,The Gambia,0,1159.64,2026-06-11
117,Sudan,0,1157.22,2026-06-11
118,Indonesia,0,1157.14,2026-06-11
119,Togo,0,1152.76,2026-06-11
120,Korea DPR,0,1151.05,2026-06-11
121,Namibia,0,1148.84,2026-06-11
122,Sierra Leone,0,1147.56,2026-06-11
123,Faroe Islands,0,1136.59,2026-06-11
124,Cyprus,0,1133.25,2026-06-11
125,Suriname,0,1132.43,2026-06-11
126,Azerbaijan,0,1132.00,2026-06-11
127,Estonia,0,1130.64,2026-06-11
128,Rwanda,0,1126.62,2026-06-11
129,Malawi,0,1122.05,2026-06-11
130,Zimbabwe,0,1119.78,2026-06-11
131,Nicaragua,0,1114.63,2026-06-11
132,Guinea-Bissau,0,1108.38,2026-06-11
133,Kuwait,0,1106.47,2026-06-11
134,Congo,0,1105.96,2026-06-11
135,Philippines,0,1100.95,2026-06-11
136,Malaysia,0,1086.22,2026-06-11
137,Latvia,0,1085.66,2026-06-11
138,India,0,1084.93,2026-06-11
139,Central African Republic,0,1080.82,2026-06-11
140,Liberia,0,1080.44,2026-06-11
141,Turkmenistan,0,1078.65,2026-06-11
142,Burundi,0,1078.01,2026-06-11
143,Ethiopia,0,1077.52,2026-06-11
144,Dominican Republic,0,1076.50,2026-06-11
145,Yemen,0,1065.24,2026-06-11
146,Lesotho,0,1064.29,2026-06-11
147,Botswana,0,1063.63,2026-06-11
148,Singapore,0,1057.95,2026-06-11
149,Lithuania,0,1056.85,2026-06-11
150,Guyana,0,1049.32,2026-06-11
151,New Caledonia,0,1036.95,2026-06-11
152,St Kitts and Nevis,0,1036.33,2026-06-11
153,Solomon Islands,0,1031.89,2026-06-11
154,Puerto Rico,0,1024.30,2026-06-11
155,Fiji,0,1024.17,2026-06-11
156,"Hong Kong, China",0,1024.16,2026-06-11
157,Tahiti,0,1019.04,2026-06-11
158,Myanmar,0,1009.39,2026-06-11
159,Moldova,0,1008.24,2026-06-11
160,Vanuatu,0,1002.53,2026-06-11
161,Malta,0,992.79,2026-06-11
162,Antigua and Barbuda,0,986.58,2026-06-11
163,Grenada,0,981.82,2026-06-11
164,Cuba,0,981.42,2026-06-11
165,Eswatini,0,979.01,2026-06-11
166,St Lucia,0,976.71,2026-06-11
167,Bermuda,0,975.05,2026-06-11
168,Papua New Guinea,0,974.90,2026-06-11
169,South Sudan,0,970.94,2026-06-11
170,St Vincent and the Grenadines,0,968.27,2026-06-11
171,Afghanistan,0,968.07,2026-06-11
172,Andorra,0,946.43,2026-06-11
173,Maldives,0,943.92,2026-06-11
174,Chinese Taipei,0,923.78,2026-06-11
175,Cambodia,0,922.32,2026-06-11
176,Montserrat,0,916.75,2026-06-11
177,Nepal,0,914.54,2026-06-11
178,Mauritius,0,911.49,2026-06-11
179,Barbados,0,909.89,2026-06-11
180,Belize,0,907.00,2026-06-11
181,Bangladesh,0,902.93,2026-06-11
182,Dominica,0,897.69,2026-06-11
183,Chad,0,896.65,2026-06-11
184,Eritrea,0,887.06,2026-06-11
185,Laos,0,885.03,2026-06-11
186,Cook Islands,0,877.53,2026-06-11
187,Sri Lanka,0,876.86,2026-06-11
188,Samoa,0,876.41,2026-06-11
189,Aruba,0,875.61,2026-06-11
190,Mongolia,0,874.47,2026-06-11
191,American Samoa,0,871.61,2026-06-11
192,Bhutan,0,870.81,2026-06-11
193,Macau,0,858.03,2026-06-11
194,Brunei Darussalam,0,857.73,2026-06-11
195,São Tomé and Príncipe,0,855.44,2026-06-11
196,Djibouti,0,853.58,2026-06-11
197,Cayman Islands,0,850.06,2026-06-11
198,Pakistan,0,840.28,2026-06-11
199,Somalia,0,839.17,2026-06-11
200,Tonga,0,835.64,2026-06-11
201,Timor-Leste,0,831.00,2026-06-11
202,Gibraltar,0,820.26,2026-06-11
203,Guam,0,819.54,2026-06-11
204,Seychelles,0,804.16,2026-06-11
205,Turks and Caicos Islands,0,803.98,2026-06-11
206,Liechtenstein,0,797.70,2026-06-11
207,Bahamas,0,786.82,2026-06-11
208,US Virgin Islands,0,779.76,2026-06-11
209,British Virgin Islands,0,777.41,2026-06-11
210,Anguilla,0,760.25,2026-06-11
211,San Marino,0,721.20,2026-06-11
